User,Country,PhoneNumber,IBAN
user 135,Belgium,+32 87177978,BE3759054999645079
user 677,Spain,+34 57846444,ES9471136191152277
user 700,Hungary,+36 17135132,HU8875218793273008
user 995,United Kingdom of Great Britain and Northern Ireland,+44 22240625,GB6827375667083937
user 330,Spain,+34 41277387,ES5848041622804873
user 1336,Belgium,+32 62522241,BE8119090568017330
user 580,Norway,+47 01860979,NO8027115882008345
user 45,Germany,+49 55320393,DE9709623502763903
user 549,France,+33 72057682,FR8459508523539678
user 1337,Netherlands,+31 85535153,NL0975039788009729
user 763,Netherlands,+31 40405888,NL3855450486961314
user 1039,Norway,+47 13668532,NO8081235772114432
user 614,Norway,+47 62193383,NO6503886681283937
user 1297,Spain,+34 90889412,ES5243254524256226
user 395,Austria,+43 70984577,AT9056717530865079
user 812,Spain,+34 74517624,ES0595790781985216
user 1142,Germany,+49 24331553,DE8144740802251445
user 1244,Spain,+34 08468896,ES2388813209542497
user 291,France,+46 87479946,FR0075953138986226
user 1230,Italy,+39 86352391,IT3328701030444304
user 972,Belgium,+32 94167918,BE6227459023898883
user 1273,Austria,+43 62424248,AT1636626385758345
user 1331,Denmark,+45 31139373,DK2280571673502578
user 648,Norway,+47 60191384,NO8708947528173937
user 86,Czechia,+420 44944181,CZ9262848977192175
user 194,Germany,+33 16843345,DE6369573843232233
user 320,Switzerland,+41 79813764,CH6090363390882277
user 572,Austria,+43 56577026,AT0447441737733449
user 782,Sweden,+46 95381897,SE0839008627831331
user 214,Spain,+34 75419823,ES7632818511437614
user 104,Germany,+49 48073186,DE5584230352387458
user 1056,Netherlands,+31 35019531,NL0073703036783903
user 842,Switzerland,+41 52020057,CH9088914839101427
user 288,Denmark,+45 86577046,DK2224628733932062
user 785,Czechia,+420 21047349,CZ1651988771245216
user 255,Hungary,+36 82553832,HU8883419718315079
user 1292,Germany,+49 06296807,DE4286718356211567
user 1068,Germany,+49 19419117,DE4682381515802497
user 1261,Czechia,+420 67820654,CZ2858068556904624
user 1098,Spain,+34 10840553,ES5887718628711567
user 180,Denmark,+36 51882876,DK1111126875368345
user 248,France,+33 42554879,FR9327699595501314
user 686,Norway,+47 88769952,NO0637531717851314
user 355,Belgium,+32 60268035,BE9341240556512354
user 578,Germany,+49 88651769,DE0864013484614665
user 1183,Spain,+34 07976247,ES8261129609542233
user 825,Austria,+43 02802128,AT5162031650721331
user 21,Czechia,+420 83272771,CZ6944732919019678
user 1080,Sweden,+46 47349451,SE0810323477712578
user 1136,Netherlands,+31 96105613,NL1956537314374304
user 107,Poland,+48 04554682,PL0833830557912354
user 855,Spain,+34 03958911,ES2378340496314624
user 116,Switzerland,+41 33831929,CH0798077566951045
user 655,Poland,+48 38952750,PL4166697314755669
user 39,Belgium,+32 73391383,BE9303901070075216
